player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Bob,Impostor,2289,20,2309,google/gemini-flash-1.5
Dave,Crewmate,2178,20,2198,anthropic/claude-3-5-haiku
Alice,Crewmate,2429,20,2449,anthropic/claude-3-5-haiku
Bob,Impostor,2289,20,2309,google/gemini-flash-1.5
Dave,Crewmate,2178,20,2198,anthropic/claude-3-5-haiku
Alice,Crewmate,2429,20,2449,anthropic/claude-3-5-haiku
Bob,Impostor,2331,20,2351,google/gemini-flash-1.5
Dave,Crewmate,2459,20,2479,anthropic/claude-3-5-haiku
Alice,Crewmate,2429,20,2449,anthropic/claude-3-5-haiku
Bob,Impostor,2670,20,2690,google/gemini-flash-1.5
Dave,Crewmate,2798,20,2818,anthropic/claude-3-5-haiku
Alice,Crewmate,3049,20,3069,anthropic/claude-3-5-haiku
Bob,Impostor,2584,20,2604,google/gemini-flash-1.5
Dave,Crewmate,2517,20,2537,anthropic/claude-3-5-haiku
Alice,Crewmate,2768,20,2788,anthropic/claude-3-5-haiku
Bob,Impostor,2584,20,2604,google/gemini-flash-1.5
Dave,Crewmate,2517,20,2537,anthropic/claude-3-5-haiku
Alice,Crewmate,2768,20,2788,anthropic/claude-3-5-haiku
Bob,Impostor,2584,20,2604,google/gemini-flash-1.5
Dave,Crewmate,2517,20,2537,anthropic/claude-3-5-haiku
Alice,Crewmate,2768,20,2788,anthropic/claude-3-5-haiku
Bob,Impostor,2625,20,2645,google/gemini-flash-1.5
Dave,Crewmate,2753,20,2773,anthropic/claude-3-5-haiku
Alice,Crewmate,2768,20,2788,anthropic/claude-3-5-haiku
Bob,Impostor,2049,20,2069,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1643,20,1663,anthropic/claude-3-5-haiku
Dave,Crewmate,1800,20,1820,anthropic/claude-3-5-haiku
Charlie,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Bob,Impostor,2059,20,2079,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1461,20,1481,anthropic/claude-3-5-haiku
Dave,Crewmate,1609,20,1629,anthropic/claude-3-5-haiku
Alice,Crewmate,1669,20,1689,anthropic/claude-3-5-haiku
Charlie,Crewmate,1637,20,1657,anthropic/claude-3-5-haiku
Bob,Impostor,2059,20,2079,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1653,20,1673,anthropic/claude-3-5-haiku
Dave,Crewmate,1609,20,1629,anthropic/claude-3-5-haiku
Alice,Crewmate,1669,20,1689,anthropic/claude-3-5-haiku
Charlie,Crewmate,1637,20,1657,anthropic/claude-3-5-haiku
